0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,label
-670.19543,65.06385,0.8889541,14.715979,9.182164,0.660575,-3.846836,-3.583946,-12.959006,-3.3001328,0.9107796,-3.597036,2.3762743,-4.3889413,0.5450804,0.8918514,-4.8025913,-2.105414,-1.6059692,-1.0523903,-7.067281,-0.623061,-2.7280297,-5.307361,-1.9691167,-0.94615275,-5.721111,0.33299103,-2.5438454,0.1822085,-2.3510976,-2.504727,-3.1515071,-2.1908991,-3.8017597,-1.8130877,-1.2612225,-2.1449544,-4.152173,-1.7796154,neutral
-660.23035,63.325817,-2.6304572,17.983355,9.407703,-0.98149824,-2.3246975,-6.8480315,-14.13367,-2.2003324,0.48575455,-3.5897148,0.70367616,-4.2963767,-0.57926387,0.16835245,-5.55693,-1.3754357,-2.431206,0.39963508,-6.5191474,-1.159247,-2.423798,-5.653184,-0.8786646,-2.0320818,-5.72138,1.300427,-2.83868,0.058384795,-1.7864134,-3.113372,-2.5567517,-2.9351122,-3.6549625,-0.9880483,-1.4998254,-3.6171255,-3.751694,-2.7309139,neutral
-661.9645,66.65587,-0.93215764,14.899042,5.3247027,0.47434267,-3.3466513,-7.1025248,-12.873403,-5.088379,0.0013452768,-3.964232,1.5700027,-4.519395,-2.7574663,0.7277307,-6.1253796,-3.963368,-0.18352352,-0.12927589,-6.4628143,-1.3566461,-2.451898,-4.0212307,-1.6523415,-0.51918805,-5.061178,-0.47720957,-2.6639094,-0.45191896,-2.2644928,-2.6436503,-2.937168,-2.361648,-3.3451042,-2.4260595,-1.4600126,-3.281309,-4.208614,-2.7262056,neutral
-657.72235,65.03519,3.1486723,15.666511,7.5826573,2.628087,-1.8500687,-7.477578,-11.976265,-4.458463,0.47438186,-2.418702,0.2018811,-4.021397,-2.4247108,1.2347196,-5.734745,-2.6751385,-0.21636847,-0.6267835,-5.738756,-2.3356442,-1.8039048,-3.3132305,-2.4136574,-1.2878956,-5.5550337,-0.6311903,-2.7793753,0.68004274,-2.9185772,-2.8496115,-3.5914876,-3.1040158,-3.4957066,-1.6284109,-1.304878,-3.0327938,-3.973964,-3.8617792,neutral
-694.5796,72.531715,3.1045616,17.112118,9.077338,1.8362566,-4.146086,-4.797151,-11.764124,-5.92548,0.92036,-3.949307,0.5134986,-4.053604,-0.62032586,1.77352,-6.5415154,-0.92214614,-1.4762514,-1.9375763,-5.5625534,-1.546684,-3.270127,-5.0892906,-2.0948453,-1.4452754,-5.6710796,1.5286288,-3.601097,0.57211053,-2.50713,-1.4058732,-2.2903457,-2.8791432,-2.0690923,-0.5444641,-2.0738163,-2.0806112,-4.573941,-3.246941,calm
-676.02344,80.26263,2.5032032,13.3088665,11.569082,1.1933578,-5.3659854,-5.692615,-9.998198,-5.729335,1.9533229,-2.9317298,-0.2783358,-4.232111,-2.0333169,1.1834761,-5.973,-2.6199806,-1.0506548,-1.7569709,-5.558182,-2.149296,-3.1298778,-5.1158524,-2.582557,-1.6264857,-5.361411,0.38478872,-3.4677885,0.3235419,-4.073999,-2.7750332,-4.051667,-4.126582,-4.494489,-1.4400599,-2.5257032,-3.6805172,-5.1545353,-4.82557,calm
-666.6185,75.51372,0.75422055,15.570236,6.638893,3.128689,-1.8389336,-5.8404164,-10.310458,-5.500112,2.0212364,-2.0762115,1.4491688,-5.4239283,1.5644329,-0.050361045,-7.4645844,-3.1895034,-0.20267998,-2.1165664,-6.9647255,-1.7746927,-2.723619,-3.8337164,-2.771869,-1.2965733,-6.3496385,0.9910259,-4.5076966,-0.20283166,-3.7652102,-2.0190783,-2.9941032,-3.6608634,-4.882985,-2.326971,-2.525656,-2.697036,-5.524481,-3.400655,calm
-667.1171,79.26519,0.21456456,14.969451,8.738844,1.6147742,-1.5327644,-7.3180475,-9.807106,-5.784626,0.626626,-2.4500756,1.2911065,-4.725026,0.25915188,0.99324644,-6.755945,-2.5282087,-0.9139522,-1.5174524,-7.6917267,-1.9538152,-2.9422507,-2.5979004,-3.1744003,-0.90156955,-5.173778,0.1521434,-4.564284,-0.108753026,-4.1977763,-2.1417785,-2.6588342,-3.0961518,-4.1241503,-2.1030493,-1.4097146,-2.7554288,-4.043263,-3.9080098,calm
-687.39374,86.30303,4.9101667,16.588545,11.206295,2.0070603,-4.878831,-3.8133452,-7.948537,-5.705547,2.201086,-0.16574496,-0.34436575,-4.7770615,0.16891813,0.49595395,-2.4586957,-3.282157,-0.51892346,1.2123777,-8.704742,-0.005511592,-3.3424685,-4.8832526,-2.3363047,-1.0039864,-4.046401,1.1709553,-3.9957619,0.20260514,-4.313591,-3.5529664,-4.675297,-2.614001,-6.5780973,0.57004464,-3.575355,-3.031051,-5.966482,-3.9765954,calm
-632.44934,89.4056,-0.7624836,15.570318,9.03804,0.5364826,-6.2400036,-8.146271,-10.77365,-6.5939755,3.4899035,-2.0718486,-1.5570123,-6.293864,-0.2593997,-1.2985007,-5.4691114,-3.0567815,-1.1076869,-0.447974,-8.642469,0.058578257,-2.918598,-4.8966184,-3.2286777,-2.0899036,-6.127,0.17608713,-3.6520662,-0.9486786,-5.3322268,-3.2980516,-5.7123275,-3.876625,-7.0523615,-1.5666845,-2.775461,-3.0271723,-5.990308,-4.581634,calm
